Data,Contagem,Links
06/2022,267,https://nuforc.org/webreports/ndxe202206.html
05/2022,396,https://nuforc.org/webreports/ndxe202205.html
04/2022,299,https://nuforc.org/webreports/ndxe202204.html
03/2022,309,https://nuforc.org/webreports/ndxe202203.html
02/2022,308,https://nuforc.org/webreports/ndxe202202.html
01/2022,332,https://nuforc.org/webreports/ndxe202201.html
12/2021,358,https://nuforc.org/webreports/ndxe202112.html
11/2021,267,https://nuforc.org/webreports/ndxe202111.html
10/2021,276,https://nuforc.org/webreports/ndxe202110.html
09/2021,259,https://nuforc.org/webreports/ndxe202109.html
08/2021,260,https://nuforc.org/webreports/ndxe202108.html
07/2021,221,https://nuforc.org/webreports/ndxe202107.html
06/2021,218,https://nuforc.org/webreports/ndxe202106.html
05/2021,477,https://nuforc.org/webreports/ndxe202105.html
04/2021,283,https://nuforc.org/webreports/ndxe202104.html
03/2021,253,https://nuforc.org/webreports/ndxe202103.html
02/2021,251,https://nuforc.org/webreports/ndxe202102.html
01/2021,298,https://nuforc.org/webreports/ndxe202101.html
12/2020,383,https://nuforc.org/webreports/ndxe202012.html
11/2020,457,https://nuforc.org/webreports/ndxe202011.html
10/2020,537,https://nuforc.org/webreports/ndxe202010.html
09/2020,461,https://nuforc.org/webreports/ndxe202009.html
08/2020,726,https://nuforc.org/webreports/ndxe202008.html
07/2020,660,https://nuforc.org/webreports/ndxe202007.html
06/2020,388,https://nuforc.org/webreports/ndxe202006.html
05/2020,577,https://nuforc.org/webreports/ndxe202005.html
04/2020,1047,https://nuforc.org/webreports/ndxe202004.html
03/2020,833,https://nuforc.org/webreports/ndxe202003.html
02/2020,616,https://nuforc.org/webreports/ndxe202002.html
01/2020,630,https://nuforc.org/webreports/ndxe202001.html
12/2019,763,https://nuforc.org/webreports/ndxe201912.html
11/2019,705,https://nuforc.org/webreports/ndxe201911.html
10/2019,753,https://nuforc.org/webreports/ndxe201910.html
09/2019,671,https://nuforc.org/webreports/ndxe201909.html
08/2019,490,https://nuforc.org/webreports/ndxe201908.html
07/2019,613,https://nuforc.org/webreports/ndxe201907.html
06/2019,490,https://nuforc.org/webreports/ndxe201906.html
05/2019,550,https://nuforc.org/webreports/ndxe201905.html
04/2019,404,https://nuforc.org/webreports/ndxe201904.html
03/2019,333,https://nuforc.org/webreports/ndxe201903.html
02/2019,222,https://nuforc.org/webreports/ndxe201902.html
01/2019,357,https://nuforc.org/webreports/ndxe201901.html
12/2018,250,https://nuforc.org/webreports/ndxe201812.html
11/2018,260,https://nuforc.org/webreports/ndxe201811.html
10/2018,291,https://nuforc.org/webreports/ndxe201810.html
09/2018,317,https://nuforc.org/webreports/ndxe201809.html
08/2018,384,https://nuforc.org/webreports/ndxe201808.html
07/2018,448,https://nuforc.org/webreports/ndxe201807.html
06/2018,251,https://nuforc.org/webreports/ndxe201806.html
05/2018,257,https://nuforc.org/webreports/ndxe201805.html
04/2018,239,https://nuforc.org/webreports/ndxe201804.html
03/2018,243,https://nuforc.org/webreports/ndxe201803.html
02/2018,247,https://nuforc.org/webreports/ndxe201802.html
01/2018,321,https://nuforc.org/webreports/ndxe201801.html
12/2017,516,https://nuforc.org/webreports/ndxe201712.html
11/2017,365,https://nuforc.org/webreports/ndxe201711.html
10/2017,496,https://nuforc.org/webreports/ndxe201710.html
09/2017,461,https://nuforc.org/webreports/ndxe201709.html
08/2017,421,https://nuforc.org/webreports/ndxe201708.html
07/2017,528,https://nuforc.org/webreports/ndxe201707.html
06/2017,430,https://nuforc.org/webreports/ndxe201706.html
05/2017,369,https://nuforc.org/webreports/ndxe201705.html
04/2017,423,https://nuforc.org/webreports/ndxe201704.html
03/2017,351,https://nuforc.org/webreports/ndxe201703.html
02/2017,431,https://nuforc.org/webreports/ndxe201702.html
01/2017,341,https://nuforc.org/webreports/ndxe201701.html
12/2016,362,https://nuforc.org/webreports/ndxe201612.html
11/2016,502,https://nuforc.org/webreports/ndxe201611.html
10/2016,498,https://nuforc.org/webreports/ndxe201610.html
09/2016,601,https://nuforc.org/webreports/ndxe201609.html
08/2016,567,https://nuforc.org/webreports/ndxe201608.html
07/2016,704,https://nuforc.org/webreports/ndxe201607.html
06/2016,446,https://nuforc.org/webreports/ndxe201606.html
05/2016,388,https://nuforc.org/webreports/ndxe201605.html
04/2016,393,https://nuforc.org/webreports/ndxe201604.html
03/2016,418,https://nuforc.org/webreports/ndxe201603.html
02/2016,440,https://nuforc.org/webreports/ndxe201602.html
01/2016,425,https://nuforc.org/webreports/ndxe201601.html
12/2015,441,https://nuforc.org/webreports/ndxe201512.html
11/2015,916,https://nuforc.org/webreports/ndxe201511.html
10/2015,669,https://nuforc.org/webreports/ndxe201510.html
09/2015,747,https://nuforc.org/webreports/ndxe201509.html
08/2015,631,https://nuforc.org/webreports/ndxe201508.html
07/2015,747,https://nuforc.org/webreports/ndxe201507.html
06/2015,505,https://nuforc.org/webreports/ndxe201506.html
05/2015,474,https://nuforc.org/webreports/ndxe201505.html
04/2015,468,https://nuforc.org/webreports/ndxe201504.html
03/2015,484,https://nuforc.org/webreports/ndxe201503.html
02/2015,348,https://nuforc.org/webreports/ndxe201502.html
01/2015,549,https://nuforc.org/webreports/ndxe201501.html
12/2014,532,https://nuforc.org/webreports/ndxe201412.html
11/2014,552,https://nuforc.org/webreports/ndxe201411.html
10/2014,809,https://nuforc.org/webreports/ndxe201410.html
09/2014,851,https://nuforc.org/webreports/ndxe201409.html
08/2014,941,https://nuforc.org/webreports/ndxe201408.html
07/2014,1126,https://nuforc.org/webreports/ndxe201407.html
06/2014,801,https://nuforc.org/webreports/ndxe201406.html
05/2014,665,https://nuforc.org/webreports/ndxe201405.html
04/2014,674,https://nuforc.org/webreports/ndxe201404.html
03/2014,532,https://nuforc.org/webreports/ndxe201403.html
02/2014,560,https://nuforc.org/webreports/ndxe201402.html
01/2014,721,https://nuforc.org/webreports/ndxe201401.html
12/2013,778,https://nuforc.org/webreports/ndxe201312.html
11/2013,815,https://nuforc.org/webreports/ndxe201311.html
