Data,Contagem,Links
08/2017,421,https://nuforc.org/webreports/ndxe201708.html
07/2017,528,https://nuforc.org/webreports/ndxe201707.html
06/2017,430,https://nuforc.org/webreports/ndxe201706.html
05/2017,369,https://nuforc.org/webreports/ndxe201705.html
04/2017,423,https://nuforc.org/webreports/ndxe201704.html
03/2017,351,https://nuforc.org/webreports/ndxe201703.html
02/2017,431,https://nuforc.org/webreports/ndxe201702.html
01/2017,341,https://nuforc.org/webreports/ndxe201701.html
12/2016,362,https://nuforc.org/webreports/ndxe201612.html
11/2016,502,https://nuforc.org/webreports/ndxe201611.html
10/2016,498,https://nuforc.org/webreports/ndxe201610.html
09/2016,601,https://nuforc.org/webreports/ndxe201609.html
08/2016,567,https://nuforc.org/webreports/ndxe201608.html
07/2016,704,https://nuforc.org/webreports/ndxe201607.html
06/2016,446,https://nuforc.org/webreports/ndxe201606.html
05/2016,388,https://nuforc.org/webreports/ndxe201605.html
04/2016,393,https://nuforc.org/webreports/ndxe201604.html
03/2016,418,https://nuforc.org/webreports/ndxe201603.html
02/2016,440,https://nuforc.org/webreports/ndxe201602.html
01/2016,425,https://nuforc.org/webreports/ndxe201601.html
12/2015,441,https://nuforc.org/webreports/ndxe201512.html
11/2015,916,https://nuforc.org/webreports/ndxe201511.html
10/2015,669,https://nuforc.org/webreports/ndxe201510.html
09/2015,747,https://nuforc.org/webreports/ndxe201509.html
08/2015,631,https://nuforc.org/webreports/ndxe201508.html
07/2015,747,https://nuforc.org/webreports/ndxe201507.html
06/2015,505,https://nuforc.org/webreports/ndxe201506.html
05/2015,474,https://nuforc.org/webreports/ndxe201505.html
04/2015,468,https://nuforc.org/webreports/ndxe201504.html
03/2015,484,https://nuforc.org/webreports/ndxe201503.html
02/2015,348,https://nuforc.org/webreports/ndxe201502.html
01/2015,549,https://nuforc.org/webreports/ndxe201501.html
12/2014,532,https://nuforc.org/webreports/ndxe201412.html
11/2014,552,https://nuforc.org/webreports/ndxe201411.html
10/2014,809,https://nuforc.org/webreports/ndxe201410.html
09/2014,851,https://nuforc.org/webreports/ndxe201409.html
08/2014,941,https://nuforc.org/webreports/ndxe201408.html
07/2014,1126,https://nuforc.org/webreports/ndxe201407.html
06/2014,801,https://nuforc.org/webreports/ndxe201406.html
05/2014,665,https://nuforc.org/webreports/ndxe201405.html
04/2014,674,https://nuforc.org/webreports/ndxe201404.html
03/2014,532,https://nuforc.org/webreports/ndxe201403.html
