cidade,ocorrencias
Phoenix,561
Seattle,550
Portland,482
Las Vegas,476
San Diego,396
Los Angeles,384
Chicago,333
Tucson,314
Houston,307
Orlando,289
Albuquerque,279
Miami,276
Springfield,265
Austin,260
Columbus,258
Denver,251
Myrtle Beach,248
Sacramento,245
Jacksonville,229
San Jose,225
,204
San Antonio,203
Salem,203
San Francisco,200
Charlotte,200
Columbia,199
Dallas,189
Mesa,189
London (UK/England),185
Colorado Springs,184
Boise,181
New York City (Brooklyn),178
Vancouver,173
Louisville,173
Indianapolis,168
Rochester,163
Madison,162
Richmond,161
Tampa,160
Auburn,160
St. Louis,159
Arlington,159
Spokane,155
Salt Lake City,154
Tinley Park,149
Philadelphia,149
Wilmington,147
Nashville,146
Tacoma,145
Reno,142
Fresno,136
Tulsa,136
Everett,136
Omaha,135
Lancaster,134
Kansas City,134
Rockford,133
New York City,131
Glendale,131
Pittsburgh,129
Chandler,128
Scottsdale,128
Atlanta,128
Eugene,128
Franklin,127
Long Beach,126
Gilbert,124
Lexington,124
Jackson,123
Lincoln,123
Anchorage,122
Bellingham,122
Lakewood,120
Virginia Beach,120
Cleveland,120
Cincinnati,119
Canton,118
Fayetteville,114
Aurora,114
Baltimore,112
Albany,112
Riverside,111
Knoxville,111
Minneapolis,108
North Myrtle Beach,107
Monroe,106
Buffalo,105
Wichita,103
Grand Rapids,103
Bellevue,103
Manchester,102
Ottawa (Canada),100
Gainesville,99
Henderson,99
Lafayette,98
"Washington, D.C.",98
Raleigh,98
Florence,98
Memphis,97
Oklahoma City,97
Sarasota,97
Santa Fe,97
Des Moines,97
Calgary (Canada),96
Yakima,96
Burbank,95
Charleston,95
Santa Rosa,95
Milwaukee,95
Modesto,93
Newark,93
Bakersfield,92
St. Petersburg,92
Tempe,91
New York City (Manhattan),91
Honolulu,90
Bremerton,89
Greenville,89
El Paso,88
Fairfield,88
Milford,88
Middletown,87
Boston,86
Bristol,86
Peoria,85
Naples,84
Fort Wayne,84
Burlington,83
Lebanon,82
Clinton,82
Boulder,81
Olympia,80
Oakland,80
Alexandria,80
Longmont,79
Huntington Beach,79
Santa Barbara,79
Ventura,79
Fort Collins,79
Littleton,78
Cape Coral,78
Fort Worth,77
El Cajon,76
Antioch,76
Bloomington,75
Hillsboro,75
Anaheim,75
Troy,75
Sedona,75
Marietta,75
Englewood,74
Toledo,74
Greensboro,74
Warren,74
Plymouth,74
Dayton,73
Concord,73
Westminster,73
York,72
Port St. Lucie,72
Farmington,72
New York City (Bronx),72
Lake Havasu City,71
Escondido,70
Medford,70
Pasadena,69
Irvine,69
Hayward,68
Cedar Rapids,68
Ashland,68
West Palm Beach,68
Surprise,68
Redding,68
Renton,67
Fairbanks,67
Roseville,67
Marysville,67
Washington,67
Augusta,67
St. Charles,66
Athens,66
Beaverton,66
Hampton,65
Huntsville,65
Las Cruces,65
Redmond,64
Syracuse,64
Marion,63
Spring Hill,63
Puyallup,63
Duluth,63
Durham,63
Corona,63
Carlsbad,63
Kingston,62
Bend,62
Temecula,62
Loveland,62
Clarksville,62
Missoula,62
Detroit,62
Maricopa,61
Conway,61
Savannah,60
Venice,60
Norwalk,60
Santa Cruz,59
Hollywood,59
New Orleans,59
Birmingham,59
Newport,59
Palm Springs,59
Erie,59
Independence,59
Fort Lauderdale,59
Corpus Christi,58
Kennewick,58
Fremont,58
Clearwater,58
St. Augustine,58
West Chester,58
Bradenton,58
Frankfort,57
Boca Raton,57
Wenatchee,57
Dover,57
Yuma,57
Roswell,57
San Bernardino,57
Kent,57
Reading,57
Kirkland,56
Portsmouth,56
Murfreesboro,55
Garden City,55
Ocala,54
Huntington,54
Billings,54
Davenport,54
Evansville,54
Plano,53
Wellington,53
Hamilton,53
Danville,53
Nampa,53
Lawrence,53
Lake Worth,53
Oxford,53
Pensacola,52
Lakeland,52
Oxnard,52
Pueblo,52
Ocean City,52
Bozeman,52
Woodbridge,52
Tallahassee,51
Lansing,51
Sioux Falls,51
South Bend,51
Grand Junction,51
New York City (Staten Island),50
Little Rock,50
Holland,50
Santa Monica,50
Clovis,50
Hudson,50
Bowling Green,50
Sanford,50
Simi Valley,49
Chico,49
Allentown,49
Oceanside,49
Melbourne,49
Eureka,49
St. George,49
O'Fallon,49
Mississauga (Canada),48
Baton Rouge,48
Green Bay,48
Katy,48
Anderson,48
St. Paul,48
Fredericksburg,48
Santa Ana,47
Johnson City,47
Harrisburg,47
Orange,47
Topeka,47
Lynnwood,47
Cumming,47
Norfolk,47
Torrance,46
Newton,46
Prescott Valley,46
Oak Lawn,46
Lawrenceville,46
Worcester,46
Fort Myers,46
Buckeye,46
Bothell,45
Akron,45
Easton,45
Covington,45
Brandon,45
Georgetown,45
Round Rock,44
Stockton,44
Edmonds,44
Chesapeake,44
Whittier,44
Meridian,44
Bridgeport,44
Chattanooga,44
Staten Island,44
Coral Springs,43
Decatur,43
Orland Park,43
Rancho Cucamonga,43
Delray Beach,43
Asheville,43
Flagstaff,42
Dublin,42
Gresham,42
Windsor,42
Clermont,42
Napa,42
Arvada,42
Montgomery,42
Milton,42
Palmdale,42
Elk Grove,42
Flint,41
Grants Pass,41
Terre Haute,41
Port Angeles,41
Sandy,41
Greenwood,41
Davie,41
Ogden,41
Kalispell,41
Visalia,41
Federal Way,40
Rapid City,40
Lowell,40
Cary,40
Waterbury,40
Greeley,40
Prescott,40
New York City (Queens),40
Bridgewater,40
Highland,40
Providence,40
San Marcos,40
Webster,40
Chester,40
Pomona,40
Vero Beach,40
Roanoke,40
Hendersonville,40
Sydney (Australia),39
Overland Park,39
Portage,39
Boynton Beach,39
Winchester,39
Nashua,39
Surfside Beach,39
Goodyear,39
Centerville,39
Quincy,39
Butte,39
Kingman,39
Deltona,39
New Port Richey,39
Panama City Beach,38
Olathe,38
Plainfield,38
Monticello,38
Great Falls,38
Midland,38
Daytona Beach,38
Warwick,38
Mansfield,38
Butler,37
Watertown,37
Garden Grove,37
Corvallis,37
Waterloo,37
Issaquah,37
Berlin,37
Denton,37
Richland,37
Martinez,37
Thornton,37
Woodland,36
Palm Desert,36
Mount Vernon,36
Brentwood,36
Hagerstown,36
Helena,36
Mobile,36
Snohomish,36
Howell,36
Salisbury,36
Annapolis,36
Ann Arbor,36
Lee's Summit,36
Longview,36
Kokomo,36
Lewiston,36
Woodstock,36
Waterford,36
Berkeley,35
Kenosha,35
Pawleys Island,35
Oak Forest,35
Avon,35
Morgantown,35
Leesburg,35
Wasilla,35
Belleville,35
Abilene,35
Lubbock,35
Spring,35
Port Charlotte,35
Lakeville,35
Lincoln City,35
Orem,34
Edmond,34
Santa Clara,34
Binghamton,34
San Rafael,34
Summerville,34
Princeton,34
Mission Viejo,34
Jupiter,34
Apache Junction,34
Brighton,34
Fullerton,34
St. Peters,34
Levittown,34
Parker,34
Naperville,34
Van Nuys,34
Twin Falls,34
Johnstown,34
Rome,34
Fort Smith,33
Kissimmee,33
Fairfax,33
Apple Valley,33
Hemet,33
Rio Rancho,33
Coeur d'Alene,33
Ridgecrest,33
Jamestown,33
Frederick,33
San Tan Valley,33
Fontana,33
Burnsville,33
Chula Vista,33
Monterey,33
Graham,33
Carrollton,33
Noblesville,32
Sterling,32
Mesquite,32
Pittsburg,32
Manassas,32
Cheyenne,32
Amarillo,32
Winston-Salem,32
Union,32
Lake Charles,32
Port Orchard,32
Hollister,32
Chillicothe,32
Costa Mesa,32
Hartford,32
Petaluma,32
Fenton,32
Laurel,32
St. Cloud,31
Clayton,31
Greenfield,31
Racine,31
Newport Beach,31
Liberty,31
Queen Creek,31
Vacaville,31
Ft. Lauderdale,31
Fairborn,31
Exeter,31
Goshen,31
Largo,31
Ontario,31
Salinas,31
Redondo Beach,31
Shelbyville,31
North Hollywood,31
Williamsburg,31
Brookfield,31
Toms River,31
Vista,30
State College,30
Gastonia,30
Batavia,30
Bangor,30
Livingston,30
Garland,30
Palm Coast,30
Medina,30
Kelso,30
Simpsonville,30
High Point,30
Redlands,30
Gig Harbor,30
Amherst,30
Santa Maria,30
Germantown,30
Williamsport,30
Norman,30
Murrieta,30
Stillwater,30
Stafford,30
Charlottesville,30
Morristown,30
Somerset,30
Weston,30
Casa Grande,30
Rock Hill,30
Fulton,30
Chesterfield,30
Deer Park,30
Sonora,29
Lockport,29
Niles,29
Holden Beach,29
Livermore,29
Tracy,29
Centralia,29
Lewisville,29
Mountain Home,29
Hanover,29
Belmont,29
Shelton,29
Hickory,29
Porterville,29
Saint Paul,29
Bethlehem,29
Lynchburg,29
Woodbury,29
San Clemente,29
Vienna,29
Sterling Heights,29
Jefferson,29
Clinton Township,29
Meriden,29
Moreno Valley,29
Davis,29
Litchfield,29
Muskegon,29
Lake Elsinore,29
Spring Valley,29
Lehigh Acres,28
Moses Lake,28
Broken Arrow,28
Oak Island,28
Lodi,28
Lakeside,28
Appleton,28
Moore,28
Gulfport,28
Elgin,28
Panama City,28
Thousand Oaks,28
Midlothian,28
Cottonwood,28
Aberdeen,28
Ypsilanti,28
Kalamazoo,28
Spokane Valley,28
Rockville,28
Covina,28
Sherman Oaks,28
Pompano Beach,28
Arcadia,27
Galveston,27
Wayne,27
Grove City,27
Granite Falls,27
Shreveport,27
Carmel,27
Rohnert Park,27
La Mesa,27
Lake Wales,27
McMinnville,27
Citrus Heights,27
Mt. Pleasant,27
Casper,27
Bedford,27
Bethel,27
Cranston,27
Kennesaw,27
Cypress,27
Gila Bend,27
Clifton,27
Hot Springs,27
Walla Walla,27
McKinney,27
Harrison,27
Indio,27
North Las Vegas,27
Wallingford,26
Newburgh,26
College Station,26
Roseburg,26
New Castle,26
Idaho Falls,26
Brunswick,26
Trenton,26
San Pedro,26
Campbell,26
Lacey,26
Brick,26
Shawnee,26
Broomfield,26
Vallejo,26
Folsom,26
Seaside,26
Silver Spring,26
Sonoma,26
Miami Beach,26
Pembroke Pines,26
Wakefield,26
Cumberland,26
Geneva,26
Joliet,26
Mount Pleasant,26
Mt. Vernon,25
Homestead,25
Nanaimo (Canada),25
Blue Springs,25
Wichita Falls,25
Laguna Niguel,25
Utica,25
Hamburg,25
Torrington,25
Longwood,25
Ithaca,25
Mountain View,25
Mechanicsburg,25
Freeport,25
Dubuque,25
Livonia,25
Bullhead City,25
Jonesboro,25
Murray,25
Plantation,25
Spanaway,25
Sumner,25
Provo,25
Janesville,25
North Port,25
Lisbon,25
Newport News,25
Kingsport,25
Macomb,25
Victorville,25
Oakdale,25
Turlock,25
Grass Valley,25
Leavenworth,24
Sparks,24
Newtown,24
Lombard,24
Santa Clarita,24
Destin,24
Wheaton,24
Russellville,24
Marshall,24
Camarillo,24
Merced,24
Castro Valley,24
Florissant,24
Bel Air,24
Greensburg,24
Altoona,24
Arnold,24
Elizabeth,24
Punta Gorda,23
Lawton,23
Sunnyvale,23
Gaithersburg,23
Bay City,23
Smyrna,23
Peru,23
Paris,23
Astoria,23
Maryville,23
Oregon City,23
Avondale,23
Ames,23
Frisco,23
Goleta,23
Golden,23
Palo Alto,23
Muncie,23
Titusville,23
Taos,23
Cambridge,23
Crown Point,23
Sioux City,23
Alpharetta,23
Highlands Ranch,23
Oshkosh,23
North Bend,23
Pleasanton,23
South Kingstown,23
Silver City,23
Superior,23
Captiva,22
Brownsville,22
Parma,22
Oakley,22
Hesperia,22
Palatine,22
Mukilteo,22
Lewisburg,22
Murrells Inlet,22
Andover,22
New Bedford,22
Shoreline,22
Tustin,22
Milwaukie,22
Westport,22
Lima,22
