estado,ocorrencias
CA,11470
,7242
FL,5618
WA,4925
TX,4181
NY,3899
AZ,3482
PA,3285
IL,3121
OH,2975
NC,2531
MI,2493
OR,2411
CO,2121
MO,1896
NJ,1892
ON,1839
GA,1819
VA,1809
MA,1763
WI,1700
IN,1682
SC,1574
TN,1570
MN,1426
MD,1241
CT,1196
NV,1144
KY,1089
NM,1075
UT,991
OK,966
BC,915
AL,901
IA,861
ID,817
KS,799
AR,771
ME,768
LA,764
NH,757
MT,666
WV,618
MS,505
NE,469
HI,452
AK,450
AB,449
VT,421
RI,415
DE,275
WY,260
SD,256
QC,220
MB,191
NS,185
ND,156
NB,138
SK,133
DC,122
PQ,76
NF,33
SA,24
NT,21
YT,21
PE,20
PR,18
YK,5
Ontario,3
VI,1
Manchester,1
Gisborne District,1
Queensland,1
County Dublin,1
"Washington, DC",1
Chon Buri,1
Panamá Province,1
Brekshire,1
Bali,1
New South Wales,1
Djibouti,1
Cheshire West and Chester,1
Perth and Kinross,1
Dorset,1
South Carolina,1
Southern District,1
